Phrases;Type (Maxime)
"Ce qui est a moi, ces quelques milliers de mortiferes qui tournent en rond dans la calebasse d'une île et ce qui est a moi aussi, l'archipel arque comme le desir inquiet de se nier, on dirait une anxiete maternelle pour proteger la tenuite plus delicate qui separe l'une de l'autre Amerique ; et ses flancs qui secretent pour l'Europe la bonne liqueur d'un Gulf Stream, et l'un des deux versants d'incandescence entre quoi l'Equateur funambule vers l'Afrique. Et mon île non-clôture, sa claire audace debout a l'arriere de cette polynesie, devant elle, la Guadeloupe fendue en deux de sa raie dorsale et de même misere que nous, Haïti ou la negritude se mit debout pour la premiere fois et dit qu'elle croyait a son humanite et la comique petite queue de la Floride ou d'un negre s'acheve la strangulation, et l'Afrique gigantesquement chenillant jusqu'au pied hispanique de l'Europe, sa nudite ou la Mort fauche a larges andains.";C2
"Et voici ceux qui ne se consolent point de n'être pas faits a la ressemblance de Dieu mais de diable, ceux qui considerent que l'on est negre comme commis de seconde classe : en attendant mieux et avec possibilite de monter plus haut ; ceux qui battent la chamade devant soi-même, ceux qui vivent dans un cul de basse fosse de soi-même ; ceux qui se drapent de pseudomorphose fiere ; ceux qui disent a l'Europe : « Voyez, je sais comme vous faire des courbettes, comme vous presenter mes hommages, en somme, je ne suis pas different de vous ; ne faites pas attention a ma peau noire : c'est le soleil qui m'a brûle ».";C2
"Quelques coups de battoir partaient encore, espaces, au milieu des rires adoucis, des conversations qui s’empataient dans un bruit glouton de machoires ; tandis que la machine a vapeur, allant son train, sans repos ni trêve, semblait hausser la voix, vibrante, ronflante, emplissant l’immense salle. Mais pas une des femmes ne l’entendait ; c’etait comme la respiration même du lavoir, une haleine ardente amassant sous les poutres du plafond l’eternelle buee qui flottait. La chaleur devenait intolerable ; des rais de soleil entraient a gauche, par les hautes fenêtres, allumant les vapeurs fumantes de nappes opalisees, d’un gris rose et d’un gris bleu tres tendre ; et, comme des plaintes s’elevaient, le garcon Charles allait d’une fenêtre a l’autre, tirait des stores de grosse toile ; ensuite, il passa de l’autre côte, du côte de l’ombre, et ouvrit des vasistas.";C2
"Autour d’elles, sous elles, coulait un grand ruissellement, les seaux d’eau chaude promenes et vides d’un trait, les robinets d’eau froide ouverts, pissant de haut, les eclaboussements des battoirs, les egouttures des linges rinces, les mares ou elles pataugeaient s’en allant par petits ruisseaux sur les dalles en pente ; et, au milieu des cris, des coups cadences, du bruit murmurant de pluie, de cette clameur d’orage s’etouffant sous le plafond mouille, la machine a vapeur, a droite, toute blanche d’une rosee fine, haletait et ronflait sans relache, avec la trepidation dansante de son volant qui semblait regler l’enormite du tapage.";C2
"Elle pendit son linge au dossier d’une chaise, elle demeura debout, tournant, examinant les meubles, frappee d’une telle stupeur, que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous gardes pour le lavoir. Puis, entendant rire a la fenêtre etienne et Claude, deja consoles, elle s’approcha, prit leurs têtes sous ses bras, s’oublia un instant devant cette chaussee grise, ou elle avait vu, le matin, s’eveiller le peuple ouvrier, le travail geant de Paris ; a cette heure, le pave echauffe par les besognes du jour allumait une reverberation ardente au-dessus de la ville, derriere le mur de l’octroi ; c’etait sur ce pave, dans cet air de fournaise, qu’on la jetait toute seule avec les petits et elle enfila d’un regard les boulevards exterieurs, a droite, a gauche, s’arrêtant aux deux bouts, prise d’une epouvante sourde, comme si sa vie, desormais, allait tenir la, entre un abattoir et un hôpital.";C2
"Il passa contre nous, ne s’interrompit pas de parler a sa voisine, et nous fit du coin de son œil bleu un petit signe en quelque sorte interieur aux paupieres et qui, n’interessant pas les muscles de son visage, put passer parfaitement inapercu de son interlocutrice ; mais, cherchant a compenser par l’intensite du sentiment le champ un peu etroit ou il en circonscrivait l’expression, dans ce coin d’azur qui nous etait affecte il fit petiller tout l’entrain de la bonne grace qui depassa l’enjouement, frisa la malice ; il subtilisa les finesses de l’amabilite jusqu’aux clignements de la connivence, aux demi-mots, aux sousentendus, aux mysteres de la complicite ; et finalement exalta les assurances d’amitie jusqu’aux protestations de tendresse, jusqu’a la declaration d’amour, illuminant alors pour nous seuls, d’une langueur secrete et invisible a la chatelaine, une prunelle enamouree dans un visage de glace.";C2
"Elle etait comme toute attitude ou action ou se revele le caractere profond et cache de quelqu’un : elle ne se relie pas a ses paroles anterieures, nous ne pouvons pas la faire confirmer par le temoignage du coupable qui n’avouera pas ; nous en sommes reduits a celui de nos sens dont nous nous demandons, devant ce souvenir isole et incoherent, s’ils n’ont pas ete le jouet d’une illusion ; de sorte que de telles attitudes, les seules qui aient de l’importance, nous laissent souvent quelques doutes.";C2
Et sa bouche marquee d’un pli amer se ressaissant plus vite sourit, tandis que le regard restait douloureux, comme celui d’un beau martyr dont le corps est herisse de fleches : « Non, je ne les connais pas », dit-il, mais au lieu de donner a un renseignement aussi simple, a une reponse aussi peu surprenante le ton naturel et courant qui convenait, il le debita en appuyant sur les mots, en s’inclinant, en saluant de la tête, a la fois avec l’insistance qu’on apporte, pour être cru, a une affirmation invraisemblable – comme si ce fait qu’il ne connût pas les Guermantes ne pouvait être l’effet que d’un hasard singulier – et aussi avec l’emphase de quelqu’un qui, ne pouvant pastaire une situation qui lui est penible, prefere la proclamer pour donner aux autres l’idee que l’aveu qu’il fait ne lui cause aucun embarras, est facile, agreable, spontane, que la situation ellemême – l’absence de relations avec les Guermantes – pourrait bien avoir ete non pas subie, mais voulue par lui, resulter de quelque tradition de famille, principe de morale ou vœu mystique lui interdisant nommement la frequentation des Guermantes.;C2
"Legrandin pris au depourvu par cette question a un moment ou ses yeux etaient fixes sur mon pere, ne put les detourner, mais les attachant de seconde en seconde avec plus d’intensite – et tout en souriant tristement – sur les yeux de son interlocuteur, avec un air d’amitie et de franchise et de ne pas craindre de le regarder en face, il sembla lui avoir traverse la figure comme si elle fût devenue transparente, et voir en ce moment bien au dela derriere elle un nuage vivement colore qui lui creait un alibi mental et qui lui permettrait d’etablir qu’au moment ou on lui avait demande s’il connaissait quelqu’un a Balbec, il pensait a autre chose et n’avait pas entendu la question ; habituellement de tels regards font dire a l’interlocuteur : « a quoi pensez-vous donc ? ».";C2
Mon pere lui en reparla dans nos rencontres ulterieures, le tortura de questions, ce fut peine inutile : comme cet escroc erudit qui employait a fabriquer de faux palimpsestes un labeur et une science dont la centieme partie eût suffi a lui assurer une situation plus lucrative, mais honorable, M. Legrandin, si nous avions insiste encore, aurait fini par edifier toute une ethique de paysage et une geographie celeste de la basse Normandie, plutôt que de nous avouer qu’a deux kilometres de Balbec habitait sa propre sœur, et d’être oblige a nous offrir une lettre d’introduction qui n’eût pas ete pour lui un tel sujet d’effroi s’il avait ete absolument certain – comme il aurait dû l’être en effet avec l’experience qu’il avait du caractere de ma grand’mere – que nous n’en aurions pas profite.;C2
"Comme mon pere parlait toujours du côte de Meseglise comme de la plus belle vue de la plaine qu’il connût et du côte de Guermantes comme du type de paysage de riviere, je leur donnais, en les concevant ainsi comme deux entites, cette cohesion, cette unite qui n’appartiennent qu’aux creations de notre esprit ; la moindre parcelle de chacun d’eux me semblait precieuse et manifester leur excellence particuliere, tandis qu’a côte d’eux, avant qu’on fût arrive sur le sol sacre de l’un ou de l’autre, les chemins purement materiels au milieu desquels ils etaient poses comme l’ideal de la vue de plaine et l’ideal du paysage de riviere, ne valaient pas plus la peine d’être regardes que par le spectateur epris d’art dramatique les petites rues qui avoisinent un theatre.";C2
"Le depart de Mlle Swann qui – en m’ôtant la chance terrible de la voir apparaître dans une allee, d’être connu et meprise par la petite fille privilegiee qui avait Bergotte pour ami et allait avec lui visiter des cathedrales – me rendait la contemplation de Tansonville indifferente la premiere fois ou elle m’etait permise, semblait au contraire ajouter a cette propriete, aux yeux de mon grand-pere et de mon pere, des commodites, un agrement passager, et, comme fait, pour une excursion en pays de montagnes, l’absence de tout nuage, rendre cette journee exceptionnellement propice a une promenade de ce côte ; j’aurais voulu que leurs calculs fussent dejoues, qu’un miracle fît apparaître Mlle Swann avec son pere, si pres de nous que nous n’aurions pas le temps de l’eviter et serions obliges de faire sa connaissance.";C2
"La lumiere tombait si implacable du ciel devenu fixe que l’on aurait voulu se soustraire a son attention, et l’eau dormante ellemême, dont des insectes irritaient perpetuellement le sommeil, rêvant sans doute de quelque Maelstrôm imaginaire, augmentait le trouble ou m’avait jete la vue du flotteur de liege en semblant l’entraîner a toute vitesse sur les etendues silencieuses du ciel reflete ; presque vertical il paraissait prêt a plonger et deja je me demandais, si, sans tenir compte du desir et de la crainte que j’avais de la connaître, je n’avais pas le devoir de faire prevenir Mlle Swann que le poisson mordait – quand il me fallut rejoindre en courant mon pere et mon grand-pere qui m’appelaient, etonnes que je ne les eusse pas suivis dans le petit chemin qui monte vers les champs et ou ils s’etaient engages.";C2
"La haie formait comme une suite de chapelles qui disparaissaient sous la jonchee de leurs fleurs amoncelees en reposoir ; au-dessous d’elles, le soleil posait a terre un quadrillage de clarte, comme s’il venait de traverser une verriere ; leur parfum s’etendait aussi onctueux, aussi delimite en sa forme que si j’eusse ete devant l’autel de la Vierge, et les fleurs, aussi parees, tenaient chacune d’un air distrait son etincelant bouquet d’etamines, fines et rayonnantes nervures de style flamboyant comme celles qui a l’eglise ajouraient la rampe du jube ou les meneaux du vitrail et qui s’epanouissaient en blanche chair de fleur de fraisier.";C2
"Je poursuivais jusque sur le talus qui, derriere la haie, montait en pente raide vers les champs, quelques coquelicots perdus, quelques bluets restes paresseusement en arriere, qui le decoraient ca et la de leurs fleurs comme la bordure d’une tapisserie ou apparaît clairseme le motif agreste qui triomphera sur le panneau ; rares encore, espaces comme les maisons isolees qui annoncent deja l’approche d’un village, ils m’annoncaient l’immense etendue ou deferlent les bles, ou moutonnent les nuages, et la vue d’un seul coquelicot hissant au bout de son cordage et faisant cingler au vent sa flamme rouge, audessus de sa bouee graisseuse et noire, me faisait battre le cœur, comme au voyageur qui apercoit sur une terre basse une premiere barque echouee que repare un calfat, et s’ecrie, avant de l’avoir encore vue : « La Mer ! ».";C2
Ses yeux noirs brillaient et, comme je ne savais pas alors, ni ne l’ai appris depuis, reduire en ses elements objectifs une impression forte, comme je n’avais pas, ainsi qu’on dit, assez « d’esprit d’observation » pour degager la notion de leur couleur, pendant longtemps, chaque fois que je repensai a elle, le souvenir de leur eclat se presentait aussitôt a moi comme celui d’un vif azur, puisqu’elle etait blonde : de sorte que, peut-être si elle n’avait pas eu des yeux aussi noirs – ce qui frappait tant la premiere fois qu’on la voyait – je n’aurais pas ete, comme je le fus, plus particulierement amoureux, en elle, de ses yeux bleus.;C2
"Elle jeta en avant et de côte ses pupilles pour prendre connaissance de mon grand’pere et de mon pere, et sans doute l’idee qu’elle en rapporta fut celle que nous etions ridicules, car elle se detourna, et d’un air indifferent et dedaigneux, se placa de côte pour epargner a son visage d’être dans leur champ visuel ; et tandis que continuant a marcher et ne l’ayant pas apercue, ils m’avaient depasse, elle laissa ses regards filer de toute leur longueur dans ma direction, sans expression particuliere, sans avoir l’air de me voir, mais avec une fixite et un sourire dissimule, que je ne pouvais interpreter d’apres les notions que l’on m’avait donnees sur la bonne education que comme une preuve d’outrageant mepris ; et sa main esquissait en même temps un geste indecent, auquel quand il etait adresse en public a une personne qu’on ne connaissait pas, le petit dictionnaire de civilite que je portais en moi ne donnait qu’un seul sens, celui d’une intention insolente.";C2
"Ainsi passa pres de moi ce nom de Gilberte, donne comme un talisman qui me permettait peut-être de retrouver un jour celle dont il venait de faire une personne et qui, l’instant d’avant, n’etait qu’une image incertaine ; ainsi passa-t-il, profere au-dessus des jasmins et des giroflees, aigre et frais comme les gouttes de l’arrosoir vert ; impregnant, irisant la zone d’air pur qu’il avait traversee – et qu’il isolait – du mystere de la vie de celle qu’il designait pour les êtres heureux qui vivaient, qui voyageaient avec elle ; deployant sous l’epinier rose, a hauteur de mon epaule, la quintessence de leur familiarite, pour moi si douloureuse, avec elle, avec l’inconnu de sa vie ou je n’entrerais pas.";C2
"Ce nom, devenu pour moi presque mythologique, de Swann, quand je causais avec mes parents, je languissais du besoin de le leur entendre dire, je n’osais pas le prononcer moi-même, mais je les entraînais sur des sujets qui avoisinaient Gilberte et sa famille, qui la concernaient, ou je ne me sentais pas exile trop loin d’elle ; et je contraignais tout d’un coup mon pere, en feignant de croire par exemple que la charge de mon grand-pere avait ete deja avant lui dans notre famille, ou que la haie d’epines roses que voulait voir ma tante Leonie se trouvait en terrain communal, a rectifier mon assertion, a me dire, comme malgre moi, comme de lui-même : « Mais non, cette charge-la etait au pere de Swann, cette haie fait partie du parc de Swann ».";C2
"Il n’est peut-être pas une personne, si grande que soit sa vertu, que la complexite des circonstances ne puisse amener a vivre un jour dans la familiarite du vice qu’elle condamne le plus formellement – sans qu’elle le reconnaisse d’ailleurs tout a fait sous le deguisement de faits particuliers qu’il revêt pour entrer en contact avec elle et la faire souffrir : paroles bizarres, attitude inexplicable, un certain soir, de tel être qu’elle a par ailleurs tant de raisons pour aimer ; mais pour un homme comme M. Vinteuil il devait entrer bien plus de souffrance que pour un autre dans la resignation a une de ces situations qu’on croit a tort être l’apanage exclusif du monde de la boheme : elles se produisent chaque fois qu’a besoin de se reserver la place et la securite qui lui sont necessaires un vice que la nature elle-même fait epanouir chez un enfant, parfois rien qu’en mêlant les vertus de son pere et de sa mere, comme la couleur de ses yeux.";C2
"Dans cette zone, les densites annuelles de campagnol terrestre connues a l’echelle des communes ont ete attribuees aux taches de prairie en utilisant une ponderation par les surfaces relatives pour les taches chevauchant plusieurs municipalites ; au terme de cette operation, chaque tache de prairie a ete caracterisee par une densite annuelle de campagnol terrestre.";C1
"Actuellement, les moyens alloues pour le suivi des populations sont en diminution, et l’observation systematique de toutes les communes (ou de toutes les zones) est remise en question ; dans ce contexte, il semble interessant de proceder au suivi des populations a partir d’un decoupage spatial specifiquement dedie, plutôt que d’utiliser le maillage communal comme grille d’observation.";C1
"La validation de la segmentation et l’identification du nombre optimal de compartiments ont ete fondees sur des analyses statistiques utilisant les densites de campagnols terrestres estimees dans chaque tache annuellement de 1989 a 2004 ; dans le cas d’une partition bien adaptee pour distinguer des zones de même dynamique demographique, ces donnees sont supposees presenter une variabilite plus faible a l’interieur des compartiments qu’entre les compartiments.";C1
En attribuant une valeur de flux potentiel aux liens du graphe, la segmentation fondee sur le critere de modularite aboutit a un decoupage considere comme optimal du point de vue de la dynamique demographique interne a chaque compartiment.;C1
Le principe general adopte pour identifier les zones de vulnerabilite repose sur la « methode de la suppression » : partant d’une certaine metrique de connectivite calculee pour l’ensemble du graphe, elle consiste a simuler successivement la suppression de tous les elements du graphe (taches ou liens) et a calculer pour chacun le taux de variation entre la valeur initiale de la metrique et la valeur tenant compte de la suppression.;C1
"Selon l’objectif fixe dans le projet, il est a priori logique de se focaliser sur les taches d’habitat de l’espece cible, donc de chercher quelles sont les taches de prairie les plus interessantes a « supprimer » du reseau ; ces taches ont des tailles tres variables selon les zones des plateaux jurassiens, la plus grande tache atteignant 36 km2.";C1
"Pour que les actions de terrain contre la diffusion des campagnols terrestres aient une certaine efficacite, il est important qu’elles soient deployees dans des lieux ou les possibilites de passage entre deux taches sont en nombre limite ; inversement, si on met en place une action dans un contexte paysager ou de nombreuses alternatives de passage existent, il y a plus de chance que le dispositif soit « contourne ».";C1
"La carte d’occupation du sol et la photographie aerienne indiquent que ce couloir correspond a une coupure au sein d’un massif boise ; a priori, par sa configuration, cette zone correspond bien a un lieu d’intervention possible, puisque le caractere etroit du passage est adapte a une tentative de « barriere » contre les campagnols terrestres.";C1
"Compte tenu de cette configuration, cette zone est peu adaptee a des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne representant pas une barriere tres forte pour cette espece, on peut aussi penser qu’un tel resultat est un artefact dû a la coupure artificielle d’une seule tache de prairie.";C1
"Un graphe paysager representant le reseau de prairie au niveau regional (zone englobant essentiellement les plateaux jurassiens du departement du Doubs) avait deja ete realise dans une etude precedente, a partir d’une carte d’occupation du sol moins precise et derivee d’une classification d’image satellitaire ; cette premiere etude avait permis de tester differents parametrages du graphe, pour representer avec le plus de validite l’« infrastructure prairiale » telle qu’elle est percue par les campagnols terrestres.";C1
"La femme apparaît comme le negatif si bien que toute determination lui est imputee comme limitation, sans reciprocite. Je me suis agacee parfois au cours de discussions abstraites d’entendre des hommes me dire : « Vous pensez telle chose parce que vous êtes une femme » ; mais je savais que ma seule defense, c’etait de repondre : « Je la pense parce qu’elle est vraie », eliminant par la ma subjectivite ; il n’etait pas question de repliquer : « Et vous pensez le contraire parce que vous êtes un homme » ; car il est entendu que le fait d’être un homme n’est pas une singularite ; un homme est dans son droit en etant homme,c’est la femme qui est dans son tort.";C2
"Au XIXe siecle la querelle du feminisme devient a nouveau une querelle de partisans ; une des consequences de la revolution industrielle, c’est la participation de la femme au travail producteur : a ce moment les revendications feministes sortent du domaine theorique, elles trouvent des bases economiques ; leurs adversaires deviennent d’autant plus agressifs ; quoique la propriete fonciere soit en partie detrônee, la bourgeoisie s’accroche a la vieille morale qui voit dans la solidite de la famille le garant de la propriete privee : elle reclame la femme au foyer d’autant plus aprement que son emancipation devient une veritable menace ; a l’interieur même de la classe ouvriere, les hommes ont essaye de freiner cette liberation parce que les femmes leur apparaissaient comme de dangereuses concurrentes et d’autant plus qu’elles etaient habituees a travailler a de bas salaires.";C2
"Ce ne sont evidemment pas les idees de M. C. Mauriac en personne que son interlocutrice reflete, etant donne qu’on ne lui en connaît aucune ; qu’elle reflete des idees qui viennent des hommes, c’est possible : parmi les males mêmes il en est plus d’un qui tient pour siennes des opinions qu’il n’a pas inventees ; on peut se demander si M. Claude Mauriac n’aurait pas interêt a s’entretenir avec un bon reflet de Descartes, de Marx, de Gide plutôt qu’avec lui-même ; ce qui est remarquable, c’est que par l’equivoque du nous il s’identifie avec saint Paul, Hegel, Lenine, Nietzsche, et du haut de leur grandeur il considere avec dedain le troupeau des femmes qui osent lui parler sur un pied d’egalite ; a vrai dire j’en sais plus d’une qui n’aurait pas la patience d’accorder a M. Mauriac un « ton d’indifference polie ».";C2
"Ces theories ne sont pas universellement recues et les discussions se poursuivent jusqu’au XIXe ; c’est l’invention du microscope qui permet d’etudier l’œuf animal ; en 1827, Baer identifie l’œuf des mammiferes : c’est un element contenu a l’interieur de la vesicule de Graaf ; bientôt on put en etudier la segmentation ; en 1835 furent decouverts le sarcome, c’est-a-dire le protoplasme, puis la cellule ; et en 1877 fut realisee une observation qui montrait la penetration du spermatozoïde dans l’œuf de l’etoile de mer ; a partir de la fut etablie la symetrie des noyaux des deux gametes ; le detail de leur fusion a ete analyse pour la premiere fois en 1883 par un zoologiste belge.";C2
"Ceci dit, il reste qu’entre l’ovule et le spermatozoïde on observe des differences secondaires des plus interessantes ; la singularite essentielle de l’ovule c’est qu’il est charge de materiaux destines a nourrir et a proteger l’embryon ; il accumule des reserves aux depens desquelles le fœtus edifiera ses tissus, reserves qui sont non une substance vivante mais une matiere inerte ; il en resulte qu’il presente une forme massive, spherique ou ellipsoïdale, et qu’il est relativement volumineux ; on sait quelles dimensions atteint l’œuf de l’oiseau ; chez la femme l’ovule mesure 0,13 mm de diametre ; tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimetre cube : la masse du spermatozoïde est extrêmement reduite, il a une queue filiforme, une petite tête allongee, aucune substance etrangere ne l’alourdit, il est tout entier vie ; cette structure le voue a la mobilite ; au lieu que l’ovule, ou se trouve engrange l’avenir du fœtus, est un element fixe : enferme dans l’organisme femelle ou suspendu dans un milieu exterieur, il attend passivement la fecondation ; c’est le gamete male qui va a sa recherche ; le spermatozoïde est toujours une cellule nue, l’ovule est selon les especes protege ou non par une membrane ; mais en tout cas des que le spermatozoïde entre en contact avec lui, il le bouscule, le fait osciller, et s’infiltre en lui : le gamete male abandonne sa queue, sa tête se gonfle et d’un mouvement tournant gagne le noyau ; pendant ce temps, l’œuf forme aussitôt une membrane qui le ferme aux autres spermatozoïdes.";C2
"L’homme fait regarder son sexe comme un symbole de transcendance et de puissance il en tire vanitecomme d’un muscle strie et en même temps comme d’une grace magique : c’est une liberte riche de toute la contingence du donne, un donne librement voulu ; c’est sous cet aspect contradictoire qu’il s’en enchante ; mais il en soupconne le leurre ; cet organe par lequel il pretend s’affirmer ne lui obeit pas ; lourd de desirs inassouvis, s’erigeant inopinement, parfois se soulageant en rêve, il manifeste une vitalite suspecte et capricieuse.";C2
"Ainsi ce que d’abord l’homme cherit et deteste dans la femme, tant amante que mere, c’est l’image figee de sa destinee animale, c’est la vie necessaire a son existence, mais qui la condamne a la finitude et a la mort ; du jour ou il naît, l’homme commence a mourir : c’est la verite qu’incarne la Mere. En procreant, il affirme l’espece contre lui-même : c’est ce qu’il apprend dans les bras de l’epouse ; dans le trouble et le plaisir, avant même d’avoir engendre, il oublie son moi singulier. Encore qu’il tente de les distinguer, il retrouve en l’une et l’autre une seule evidence : celle de sa condition charnelle. a la fois il souhaite l’accomplir : il venere sa mere, il desire sa maîtresse ; a la fois il se rebelle contre elles dans le degoût, dans la crainte.";C2
"Dans son ouvrage, Mitra-Varuna, Dumezil signale qu’aux Indes comme a Rome, il y a deux manieres pour le pouvoir viril de s’affirmer : en Varouna et Romulus, dans les Gandharvas et les Luperques, il est agression, rapt, desordre, hybris ; alors la femme apparaît comme un être qu’il faut ravir, violenter ; les Sabines ravies se montrent steriles, on les fouette avec des lanieres en peau de bouc, compensant par la violence un exces de violence. Mais Mitra, Numa, les Brahmanes et les Flamines assurent au contraire l’ordre et l’equilibre raisonnable de la cite : alors la femme est liee au mari par un mariage aux rites compliques et, collaborant avec lui, elle lui assurela domination de toutes les forces femelles de la nature ; a Rome, si la flamina meurt, le flamen dialis se demet de ses fonctions.";C2
"Mais la femme ne flatte pas seulement la vanite sociale de l’homme ; elle lui permet aussi un orgueil plus intime ; il s’enchante de la domination qu’il exerce sur elle ; aux images naturalistes du soc entaillant le sillon se superposent quand la femme est une personne des symboles plus spirituels ; ce n’est pas seulement erotiquement, c’est moralement, intellectuellement que le mari « forme » son epouse ; il l’eduque, la marque, lui impose son empreinte ; une des rêveries auxquelles l’homme se complaît, c’est celle de l’impregnation des choses par sa volonte, du modelage de leur forme, de la penetration de leur substance : la femme est par excellence la « pate molle » qui se laisse passivement malaxer et faconner ; tout en cedant elle resiste, ce qui permet a l’action masculine de se perpetuer.";C2
"Dans le monde humain la femme transpose les fonctions de la femelle animale : elle entretient la vie, elle regne sur les regions de l’immanence ; la chaleur et l’intimite de la matrice, elle les transporte dans le foyer ; c’est elle qui garde et anime la demeure ou s’est depose le passe, ou se prefigure l’avenir ; elle engendre la generation future et elle nourrit les enfants deja nes ; grace a elle l’existence que l’homme depense a travers le monde dans le travail et l’action se rassemble en se replongeant dans son immanence : quand le soir il rentre dans sa maison, le voila ancre sur la terre ; par la femme la continuite des jours est assuree ; quels que soient les hasards qu’il affronte dans le monde exterieur, elle garantit la repetition des repas, du sommeil ; elle repare tout ce que l’activite detruit ou use : elle prepare les aliments du travailleur fatigue, elle le soigne s’il est malade, elle raccommode, lave.";C2
Mais surtout, comme, dans toutes celles de ses actions et de ses pensees qui se rapportaient a Odette, Swann etait constamment domine et dirige par le sentiment inavoue qu'il lui etait, peut?être pas moins cher, mais moins agreable a voir que quiconque, que le plus ennuyeux fidele des Verdurin, ? quand il se reportait a un monde pour qui il etait l'homme exquis par excellence, qu'on faisait tout pour attirer, qu'on se desolait de ne pas voir, il recommencait a croire a l'existence d'une vie plus heureuse, presque a en eprouver l'appetit, comme il arrive a un malade alite depuis des mois, a la diete, et qui apercoit dans un journal le menu d'un dejeuner officiel ou l'annonce d'une croisiere en Sicile.;C2
"Des sa descente de voiture, au premier plan de ce resume fictif de leur vie domestique que les maîtresses de maison pretendent offrir a leurs invites les jours de ceremonie et ou elles cherchent a respecter la verite du costume et celle du decor, Swann prit plaisir a voir les heritiers des ""Tigres"" de Balzac, les grooms, suivants ordinaires de la promenade, qui, chapeautes et bottes, restaient dehors devant l'hôtel sur le sol de l'avenue, ou devant les ecuries, comme des jardiniers auraient ete ranges a l'entree de leurs parterres.";C2
Et les meches de ses cheveux roux crespeles par la nature, mais colles par la brillantine, etaient largement traitees comme elles sont dans la sculpture grecque qu'etudiait sans cesse le peintre de Mantoue, et qui, si dans la creation elle ne figure que l'homme, sait du moins tirer de ses simples formes des richesses si variees et comme empruntees a toute la nature vivante, qu'une chevelure, par l'enroulement lisse et les becs aigus de ses boucles, ou dans la superposition du triple et fleurissant diademe de ses tresses, a l'air a la fois d'un paquet d'algues, d'une nichee de colombes, d'un bandeau de jacinthes et d'une torsade de serpents.;C2
Il traversa alors un petit vestibule qui ? tel que certaines pieces amenagees par leur proprietaire pour servir de cadre a une seule oeuvre d'art, dont elles tirent leur nom et, d'une nudite voulue, ne contiennent rien d'autre ? exhibait a son entree, comme quelque precieuse effigie de Benvenuto Cellini representant un homme de guet, un jeune valet de pied, le corps legerement flechi en avant, dressant sur son hausse?col rouge une figure plus rouge encore d'ou s'echappaient des torrents de feu, de timidite et de zele, et qui, percant les tapisseries d'Aubusson tendues devant le salon ou on ecoutait la musique, de son regard impetueux, vigilant, eperdu, avait l'air, avec une impassibilite militaire ou une foi surnaturelle ? allegorie de l'alarme, incarnation de l'attente, commemoration du branle?bas ? d'epier, ange ou vigie, d'une tour de donjon ou de cathedrale, l'apparition de l'ennemi ou l'heure du jugement.;C2
Swann s'etait avance, sur l'insistance de Mme De Saint?euverte, et pour entendre un air d' orphee qu'executait un flûtiste, s'etait mis dans un coin ou il avait malheureusement comme seule perspective deux dames deja mûres assises l'une a côte de l'autre, la marquise de Cambremer et la vicomtesse de Franquetot, lesquelles, parce qu'elles etaient cousines, passaient leur temps dans les soirees, portant leurs sacs et suivies de leurs filles, a se chercher comme dans une gare et n'etaient tranquilles que quand elles avaient marque, par leur eventail ou leur mouchoir, deux places voisines : Mme De Cambremer, comme elle avait tres peu de relations, etant d'autant plus heureuse d'avoir une compagne, Mme De Franquetot, qui etait au contraire tres lancee, trouvant quelque chose d'elegant, d'original, a montrer a toutes ses belles connaissances qu'elle leur preferait une dame obscure avec qui elle avait en commun des souvenirs de jeunesse.;C2
Il savait que le souvenir même du piano faussait encore le plan dans lequel il voyait les choses de la musique, que le champ ouvert au musicien n'est pas un clavier mesquin de sept notes, mais un clavier incommensurable, encore presque tout entier inconnu, ou seulement ca et la, separees par d'epaisses tenebres inexplorees, quelques?unes des millions de touches de tendresse, de passion, de courage, de serenite, qui le composent, chacune aussi differente des autres qu'un univers d'un autre univers, ont ete decouvertes par quelques grands artistes qui nous rendent le service, en eveillant en nous le correspondant du theme qu'ils ont trouve, de nous montrer quelle richesse, quelle variete, cache a notre insu cette grande nuit impenetree et decourageante de notre ame que nous prenons pour du vide et pour du neant.;C2
"Je n'avais pas de plus grand desir que de voir une tempête sur la mer, moins comme un beau spectacle que comme un moment devoile de la vie reelle de la nature ; ou plutôt il n'y avait pour moi de beaux spectacles que ceux que je savais qui n'etaient pas artificiellement combines pour mon plaisir, mais etaient necessaires, inchangeables, ? les beautes des paysages ou du grand art ; je n'etais curieux, je n'etais avide de connaître que ce que je croyais plus vrai que moi?même, ce qui avait pour moi le prix de me montrer un peu de la pensee d'un grand genie, ou de la force ou de la grace de la nature telle qu'elle se manifeste livree a elle?même, sans l'intervention des hommes.";C2
